,date,open,high,low,close,volume,Name
738,2015-02-16,151.02,151.83,149.2,150.16,2117562,AAP
739,2015-02-17,149.91,151.38,148.86,150.23,1564383,AAP
740,2015-02-18,149.65,153.6,148.5,153.22,1789198,AAP
741,2015-02-19,153.18,154.94799999999998,152.46,153.27,1149733,AAP
742,2015-02-20,152.64,155.14,151.82,155.06,928910,AAP
743,2015-02-21,152.64,155.14,151.82,155.06,928910,AAP
744,2015-02-22,152.64,155.14,151.82,155.06,928910,AAP
745,2015-02-23,155.59,157.21,154.71,157.18,853683,AAP
746,2015-02-24,157.35,157.7,155.3,156.4,643245,AAP
747,2015-02-25,156.5,156.57,155.5,156.25,397548,AAP
748,2015-02-26,156.25,156.7099,155.225,155.38,493216,AAP
749,2015-02-27,155.74,156.24,154.63,154.93,718451,AAP
750,2015-02-28,155.74,156.24,154.63,154.93,718451,AAP
751,2015-03-01,155.74,156.24,154.63,154.93,718451,AAP
752,2015-03-02,154.71,155.41,153.93,154.77,909090,AAP
753,2015-03-03,155.39,156.6,153.5,154.47,718061,AAP
754,2015-03-04,153.97,153.97,150.44,150.83,869807,AAP
755,2015-03-05,151.82,153.23,150.93,152.52,753245,AAP
756,2015-03-06,151.71,152.96,148.47,149.07,1711064,AAP
757,2015-03-07,151.71,152.96,148.47,149.07,1711064,AAP
758,2015-03-08,151.71,152.96,148.47,149.07,1711064,AAP
759,2015-03-09,149.0,149.51,147.75,148.29,839309,AAP
760,2015-03-10,146.8,147.65,145.1,146.53,1291542,AAP
761,2015-03-11,146.97,147.72,145.61,147.33,703890,AAP
762,2015-03-12,146.88,150.23,146.88,149.32,778450,AAP
763,2015-03-13,149.2,150.4,146.58,149.61,674582,AAP
764,2015-03-14,149.2,150.4,146.58,149.61,674582,AAP
765,2015-03-15,149.2,150.4,146.58,149.61,674582,AAP
766,2015-03-16,149.96,151.23,149.49,151.12,679887,AAP
767,2015-03-17,151.02,151.69,149.83,150.0,531896,AAP
768,2015-03-18,149.56,149.71,147.01,149.03,715551,AAP
769,2015-03-19,149.06,149.42,147.42,149.19,912481,AAP
770,2015-03-20,149.4,152.29,148.48,151.91,1563045,AAP
771,2015-03-21,149.4,152.29,148.48,151.91,1563045,AAP
772,2015-03-22,149.4,152.29,148.48,151.91,1563045,AAP
773,2015-03-23,151.06,152.22,149.49,149.51,1037234,AAP
774,2015-03-24,148.9,151.91,148.15,151.01,688538,AAP
775,2015-03-25,150.87,152.18,148.62,148.73,715091,AAP
776,2015-03-26,147.63,150.33,146.7,149.41,828273,AAP
777,2015-03-27,149.67,152.13,149.35,151.39,858800,AAP
778,2015-03-28,149.67,152.13,149.35,151.39,858800,AAP
779,2015-03-29,149.67,152.13,149.35,151.39,858800,AAP
780,2015-03-30,152.29,153.27,151.2,152.08,608165,AAP
781,2015-03-31,151.8,152.57,149.48,149.69,887737,AAP
782,2015-04-01,147.78,148.845,143.45,143.75,2423428,AAP
783,2015-04-02,143.95,145.645,143.02,143.98,1529960,AAP
784,2015-04-03,143.95,145.645,143.02,143.98,1529960,AAP
785,2015-04-04,143.95,145.645,143.02,143.98,1529960,AAP
786,2015-04-05,143.95,145.645,143.02,143.98,1529960,AAP
787,2015-04-06,143.77,147.26,143.34,145.73,1150930,AAP
788,2015-04-07,146.05,147.1,145.79,146.71,796969,AAP
789,2015-04-08,146.96,148.84,146.36,148.81,770690,AAP
790,2015-04-09,148.31,149.23,146.99,148.05,646873,AAP
791,2015-04-10,148.67,150.53,147.57,150.2,587907,AAP
792,2015-04-11,148.67,150.53,147.57,150.2,587907,AAP
793,2015-04-12,148.67,150.53,147.57,150.2,587907,AAP
794,2015-04-13,149.97,150.75,148.92,149.18,376552,AAP
795,2015-04-14,148.77,150.19,147.63,149.05,731664,AAP
796,2015-04-15,149.45,150.401,148.56,149.58,578292,AAP
797,2015-04-16,149.13,151.31,148.32,150.0,716681,AAP
798,2015-04-17,149.01,149.8,147.93,149.8,795672,AAP
799,2015-04-18,149.01,149.8,147.93,149.8,795672,AAP
800,2015-04-19,149.01,149.8,147.93,149.8,795672,AAP
801,2015-04-20,149.83,152.53,149.83,152.4,890133,AAP
802,2015-04-21,153.28,154.66,152.18,152.4,898830,AAP
803,2015-04-22,152.23,152.61,150.5,151.51,1189374,AAP
804,2015-04-23,153.65,153.98,146.54,146.69,1865051,AAP
805,2015-04-24,144.82,148.74,143.2,148.61,1441627,AAP
806,2015-04-25,144.82,148.74,143.2,148.61,1441627,AAP
807,2015-04-26,144.82,148.74,143.2,148.61,1441627,AAP
808,2015-04-27,148.99,148.99,144.54,144.99,905724,AAP
809,2015-04-28,145.0,145.23,143.0,144.5,795335,AAP
810,2015-04-29,144.5,145.18,143.51,144.66,707881,AAP
811,2015-04-30,144.43,145.21,142.9,143.0,1269152,AAP
812,2015-05-01,143.09,145.46,142.63,145.34,596335,AAP
813,2015-05-02,143.09,145.46,142.63,145.34,596335,AAP
814,2015-05-03,143.09,145.46,142.63,145.34,596335,AAP
815,2015-05-04,145.25,146.15,144.95,145.45,675943,AAP
816,2015-05-05,145.45,145.73,143.42,143.99,680113,AAP
817,2015-05-06,144.32,144.84,143.0,144.09,591724,AAP
818,2015-05-07,144.39,145.84,143.89,144.53,782529,AAP
819,2015-05-08,145.46,147.0,144.37,144.76,579694,AAP
820,2015-05-09,145.46,147.0,144.37,144.76,579694,AAP
821,2015-05-10,145.46,147.0,144.37,144.76,579694,AAP
822,2015-05-11,144.98,146.45,144.1,145.51,348213,AAP
823,2015-05-12,144.74,147.17,144.1,147.13,807362,AAP
824,2015-05-13,147.0,149.49,146.63,149.38,1286064,AAP
825,2015-05-14,150.0,151.215,148.75,149.86,979890,AAP
826,2015-05-15,149.57,151.84,149.52,151.62,840057,AAP
827,2015-05-16,149.57,151.84,149.52,151.62,840057,AAP
828,2015-05-17,149.57,151.84,149.52,151.62,840057,AAP
829,2015-05-18,150.99,153.125,150.85,151.88,2099333,AAP
830,2015-05-19,152.65,154.84,151.98,152.94,1096306,AAP
831,2015-05-20,152.76,153.97,149.9,149.9,1581913,AAP
832,2015-05-21,144.19,160.9,143.0,157.5,4243659,AAP
833,2015-05-22,157.42,161.55,156.73,160.2,2200971,AAP
834,2015-05-23,157.42,161.55,156.73,160.2,2200971,AAP
835,2015-05-24,157.42,161.55,156.73,160.2,2200971,AAP
836,2015-05-25,157.42,161.55,156.73,160.2,2200971,AAP
837,2015-05-26,160.07,160.82,157.44,158.0,1120856,AAP
838,2015-05-27,158.29,158.8,156.51,157.22,870790,AAP
839,2015-05-28,157.25,158.05,155.63,156.35,643706,AAP
840,2015-05-29,155.31,155.69,153.19,153.22,1032745,AAP
841,2015-05-30,155.31,155.69,153.19,153.22,1032745,AAP
842,2015-05-31,155.31,155.69,153.19,153.22,1032745,AAP
843,2015-06-01,154.28,154.89,152.71,153.32,764135,AAP
844,2015-06-02,153.26,155.42,152.2,155.36,976665,AAP
845,2015-06-03,155.72,156.83,154.8101,156.53,997998,AAP
846,2015-06-04,155.73,157.1,155.545,156.6,579850,AAP
847,2015-06-05,156.27,157.86,156.03,157.39,672610,AAP
848,2015-06-06,156.27,157.86,156.03,157.39,672610,AAP
849,2015-06-07,156.27,157.86,156.03,157.39,672610,AAP
850,2015-06-08,157.25,157.85,156.59,157.31,924514,AAP
851,2015-06-09,156.4,158.54,156.245,157.42,1012156,AAP
852,2015-06-10,158.55,160.65,157.54,160.27,1170105,AAP
853,2015-06-11,160.31,161.08,159.68,160.53,462429,AAP
854,2015-06-12,160.29,161.65,159.98,161.21,438503,AAP
855,2015-06-13,160.29,161.65,159.98,161.21,438503,AAP
